Cancel,Annuler,,"src/main/java/controller/AirspaceController.java:1325
src/main/java/controller/WaypViewController.java:2044
src/main/java/controller/KmlViewController.java:358
src/main/java/controller/SiteFormController.java:1118
src/main/java/controller/CarnetViewController.java:1890
src/main/java/controller/CarnetViewController.java:1970
src/main/java/controller/ConfigViewController.java:635
src/main/java/controller/ConfigViewController.java:931
src/main/java/controller/ConfigViewController.java:941
src/main/java/controller/ConfigViewController.java:950
src/main/java/controller/ConfigViewController.java:959
src/main/java/littlewins/winAirDraw.java:152
src/main/java/littlewins/winDirChoose.java:170
src/main/java/littlewins/winPoint.java:122
src/main/java/littlewins/winMail.java:220
src/main/java/littlewins/winGlider.java:134
src/main/java/littlewins/winAirSearch.java:79
src/main/java/littlewins/winComment.java:82
src/main/java/littlewins/winFileSave.java:271
src/main/java/littlewins/winCsv.java:104
src/main/java/littlewins/winRename.java:108
src/main/java/littlewins/winSaveXcp.java:489
src/main/java/littlewins/winUsbWWayp.java:74
src/main/java/littlewins/winFileChoose.java:203
src/main/java/littlewins/winSendDb.java:154
src/main/java/systemio/webdown.java:119",
Save,Enregistrer,,"src/main/java/controller/AirspaceController.java:1326
src/main/java/controller/AirspaceController.java:1329
src/main/java/controller/XcpViewController.java:307
src/main/java/littlewins/winSaveXcp.java:485",
Update,Actualiser,,"src/main/java/controller/AirspaceController.java:1327
src/main/java/littlewins/winGPS.java:181",
Reset,Reset,,"src/main/java/controller/AirspaceController.java:1328
src/main/java/controller/CartoViewController.java:268",
File,Fichier,,src/main/java/trackgps/checkAirspace.java:72,
violation(s),violation(s),,src/main/java/trackgps/checkAirspace.java:453,
Unknown,Inconnu,,src/main/java/controller/FullMapController.java:560,
"Update Score","Mettre à jour le score",,src/main/java/controller/FullMapController.java:594,
Scoring,Scoring,,"src/main/java/controller/FullMapController.java:595
src/main/java/controller/FullMapController.java:740
src/main/java/controller/KmlViewController.java:345",
Infos,Infos,,src/main/java/controller/FullMapController.java:725,
Measure,Mesurer,,"src/main/java/controller/FullMapController.java:726
src/main/java/controller/CartoViewController.java:266",
"Measure on map","Mesurer sur la carte",,src/main/java/controller/FullMapController.java:729,
"Score evaluation","Calculer le score de la trace",,"src/main/java/trackgps/scoring.java:218
src/main/java/controller/FullMapController.java:743
src/main/java/controller/TraceViewController.java:651",
Mail,Mail,,"src/main/java/controller/FullMapController.java:749
src/main/java/controller/TraceViewController.java:574
src/main/java/controller/CarnetViewController.java:997
src/main/java/controller/CartoViewController.java:270",
Checking,Vérification,,src/main/java/controller/FullMapController.java:750,
"Airspaces checking","Vérifier les espaces aériens",,src/main/java/controller/FullMapController.java:753,
